TeamID,ParticipantID,Name,Email,Game,Role,Skill,PersonalityScore,PersonalityType
1,P070,Participant_70,user70@university.edu,Basketball,Coordinator,1,96,Leader
1,P089,Participant_89,user89@university.edu,Chess,Supporter,6,75,Balanced
1,P090,Participant_90,user90@university.edu,Chess,Coordinator,5,62,Thinker
1,P084,Participant_84,user84@university.edu,FIFA,Supporter,5,63,Thinker
1,P082,Participant_82,user82@university.edu,Valorant,Attacker,10,97,Leader
2,P034,Participant_34,user34@university.edu,FIFA,Supporter,7,91,Leader
2,P025,Participant_25,user25@university.edu,FIFA,Coordinator,9,100,Leader
2,P026,Participant_26,user26@university.edu,Chess,Strategist,8,74,Balanced
2,P080,Participant_80,user80@university.edu,Basketball,Coordinator,1,82,Balanced
2,P055,Participant_55,user55@university.edu,Chess,Coordinator,8,90,Leader
3,P010,Participant_10,user10@university.edu,Valorant,Coordinator,5,96,Leader
3,P061,Participant_61,user61@university.edu,CS:GO,Strategist,7,98,Leader
3,P101,Em,lidiya,fifa,attacker,6,60,Thinker
3,P057,Participant_57,user57@university.edu,CS:GO,Attacker,7,54,Thinker
3,P038,Participant_38,user38@university.edu,Valorant,Defender,1,78,Balanced
4,P031,Participant_31,user31@university.edu,Basketball,Strategist,8,97,Leader
4,P091,Participant_91,user91@university.edu,FIFA,Strategist,10,98,Leader
4,P015,Participant_15,user15@university.edu,DOTA 2,Coordinator,8,66,Thinker
4,P069,Participant_69,user69@university.edu,CS:GO,Supporter,5,68,Thinker
4,P051,Participant_51,user51@university.edu,FIFA,Strategist,2,57,Thinker
5,P052,Participant_52,user52@university.edu,FIFA,Attacker,2,99,Leader
5,P016,Participant_16,user16@university.edu,CS:GO,Strategist,6,90,Leader
5,P087,Participant_87,user87@university.edu,Basketball,Attacker,4,51,Thinker
5,P009,Participant_9,user9@university.edu,CS:GO,Supporter,6,62,Thinker
5,P059,Participant_59,user59@university.edu,DOTA 2,Supporter,4,79,Balanced
6,P088,Participant_88,user88@university.edu,FIFA,Defender,4,92,Leader
